city,month,year,decibel_level,traffic_density,green_space_area,air_quality_index,happiness_score,cost_of_living_index,healthcare_index,date,period
San Francisco,November,2018,82,Medium,25.0,73.0,6.76,74,83.0,2018-11-01,2018-11
Berlin,November,2018,79,Medium,72.0,32.0,10.0,63,68.0,2018-11-01,2018-11
Rome,November,2018,84,High,73.0,72.0,8.77,90,82.0,2018-11-01,2018-11
Montreal,November,2018,59,Medium,21.0,144.0,5.89,50,94.0,2018-11-01,2018-11
Lisbon,November,2018,85,High,42.0,106.0,6.41,114,78.0,2018-11-01,2018-11
Stockholm,November,2018,62,Low,10.0,44.0,8.28,60,71.0,2018-11-01,2018-11
Prague,November,2018,57,Medium,47.0,108.0,8.38,129,68.0,2018-11-01,2018-11
Helsinki,November,2018,49,Medium,81.0,68.0,10.0,51,73.0,2018-11-01,2018-11
New York,November,2018,59,Medium,82.0,50.0,10.0,105,60.0,2018-11-01,2018-11
London,November,2018,49,High,74.0,93.0,8.76,89,85.0,2018-11-01,2018-11
Melbourne,November,2018,63,High,83.0,141.0,8.68,127,89.0,2018-11-01,2018-11
Barcelona,December,2018,63,Low,15.0,131.0,4.84,114,87.0,2018-12-01,2018-12
Helsinki,December,2018,77,Medium,42.0,142.0,5.46,121,65.0,2018-12-01,2018-12
Montreal,December,2018,76,Very High,47.0,115.0,7.82,127,64.0,2018-12-01,2018-12
Melbourne,December,2018,77,Medium,28.0,43.0,9.12,122,72.0,2018-12-01,2018-12
Auckland,December,2018,71,Low,55.0,48.0,8.76,73,65.0,2018-12-01,2018-12
New York,December,2018,64,High,28.0,82.0,7.75,106,85.0,2018-12-01,2018-12
Dublin,December,2018,81,High,14.0,45.0,7.2,105,82.0,2018-12-01,2018-12
Berlin,December,2018,47,Medium,73.0,89.0,9.64,68,85.0,2018-12-01,2018-12
Copenhagen,December,2018,74,High,61.0,95.0,7.22,82,74.0,2018-12-01,2018-12
Lisbon,December,2018,118,Medium,66.0,126.0,7.36,115,70.0,2018-12-01,2018-12
Oslo,December,2018,85,Low,70.0,115.0,9.12,82,69.0,2018-12-01,2018-12
London,December,2018,49,Low,47.0,53.0,9.83,107,87.0,2018-12-01,2018-12
Warsaw,December,2018,67,Medium,55.0,32.0,8.25,94,96.0,2018-12-01,2018-12
Sydney,December,2018,78,High,76.0,146.0,7.32,54,63.0,2018-12-01,2018-12
Vienna,December,2018,45,Medium,51.0,138.0,7.21,228,65.0,2018-12-01,2018-12
Zurich,December,2018,74,Medium,16.0,139.0,6.5,100,99.0,2018-12-01,2018-12
Tokyo,December,2018,83,Medium,42.0,75.0,9.16,61,63.0,2018-12-01,2018-12
Toronto,December,2018,79,Medium,70.0,58.0,8.9,75,98.0,2018-12-01,2018-12
Stockholm,December,2018,57,Very High,25.0,79.0,8.46,59,98.0,2018-12-01,2018-12
San Francisco,December,2018,68,Medium,47.0,110.0,6.54,79,75.0,2018-12-01,2018-12
Rome,December,2018,58,Medium,11.0,36.0,7.67,114,63.0,2018-12-01,2018-12
Prague,December,2018,51,High,62.0,75.0,9.39,112,66.0,2018-12-01,2018-12
Paris,December,2018,73,Very High,55.0,31.0,8.88,62,73.0,2018-12-01,2018-12
Berlin,January,2019,47,High,41.0,86.0,9.05,62,73.0,2019-01-01,2019-01
Warsaw,January,2019,56,Medium,36.0,107.0,7.16,104,66.0,2019-01-01,2019-01
Toronto,January,2019,51,Low,47.0,86.0,8.77,65,79.0,2019-01-01,2019-01
Auckland,January,2019,79,Medium,78.0,88.0,9.34,69,66.0,2019-01-01,2019-01
Rome,January,2019,78,High,29.0,65.0,8.01,119,73.0,2019-01-01,2019-01
Melbourne,January,2019,48,High,65.0,101.0,9.56,52,90.0,2019-01-01,2019-01
Sydney,January,2019,78,Low,72.0,143.0,7.16,69,81.0,2019-01-01,2019-01
Tokyo,January,2019,53,Low,13.0,48.0,8.53,63,78.0,2019-01-01,2019-01
Dublin,January,2019,85,High,41.0,147.0,6.02,53,69.0,2019-01-01,2019-01
Oslo,January,2019,79,High,83.0,114.0,7.67,90,77.0,2019-01-01,2019-01
Vienna,January,2019,77,High,25.0,80.0,8.14,77,96.0,2019-01-01,2019-01
Auckland,January,2019,74,Medium,68.0,31.0,10.0,119,88.0,2019-01-01,2019-01
Montreal,January,2019,83,Medium,27.0,52.0,8.48,92,64.0,2019-01-01,2019-01
San Francisco,January,2019,83,High,84.0,76.0,9.02,57,99.0,2019-01-01,2019-01
Zurich,January,2019,49,Low,11.0,110.0,8.22,126,95.0,2019-01-01,2019-01
New York,January,2019,70,Medium,55.0,138.0,8.38,115,98.0,2019-01-01,2019-01
Prague,January,2019,67,Medium,40.0,97.0,8.92,100,100.0,2019-01-01,2019-01
Paris,January,2019,84,High,55.0,41.0,8.29,78,77.0,2019-01-01,2019-01
Toronto,January,2019,77,Medium,65.0,32.0,10.0,52,75.0,2019-01-01,2019-01
Barcelona,January,2019,71,Medium,14.0,146.0,4.24,81,80.0,2019-01-01,2019-01
Barcelona,January,2019,70,Medium,36.0,49.0,9.4,58,87.0,2019-01-01,2019-01
Helsinki,January,2019,72,Very High,55.0,116.0,6.74,62,79.0,2019-01-01,2019-01
Copenhagen,January,2019,84,Low,58.0,71.0,9.26,59,93.0,2019-01-01,2019-01
Lisbon,January,2019,58,Very High,33.0,43.0,9.27,89,93.0,2019-01-01,2019-01
Rome,February,2019,76,Very High,37.0,89.0,7.06,90,65.0,2019-02-01,2019-02
Tokyo,February,2019,77,Medium,84.0,116.0,8.95,83,69.0,2019-02-01,2019-02
Melbourne,February,2019,59,Very High,37.0,150.0,7.16,78,98.0,2019-02-01,2019-02
Rome,February,2019,50,Medium,42.0,118.0,6.93,114,80.0,2019-02-01,2019-02
Warsaw,February,2019,84,High,58.0,92.0,8.86,118,63.0,2019-02-01,2019-02
Dublin,February,2019,69,High,11.0,41.0,6.62,125,65.0,2019-02-01,2019-02
Rome,February,2019,60,Very High,39.0,108.0,7.16,83,90.0,2019-02-01,2019-02
Auckland,February,2019,81,High,59.0,43.0,10.0,87,78.0,2019-02-01,2019-02
Zurich,February,2019,67,Medium,26.0,94.0,8.25,127,63.0,2019-02-01,2019-02
Oslo,February,2019,51,Low,22.0,122.0,6.73,63,63.0,2019-02-01,2019-02
Helsinki,February,2019,64,High,42.0,100.0,7.39,122,89.0,2019-02-01,2019-02
Berlin,February,2019,64,High,80.0,62.0,9.25,56,73.0,2019-02-01,2019-02
New York,February,2019,79,Medium,53.0,123.0,6.59,98,97.0,2019-02-01,2019-02
San Francisco,February,2019,71,Low,17.0,71.0,6.39,124,95.0,2019-02-01,2019-02
Prague,February,2019,73,Medium,47.0,119.0,7.58,60,80.0,2019-02-01,2019-02
Montreal,February,2019,63,Medium,26.0,100.0,8.18,55,92.0,2019-02-01,2019-02
Toronto,February,2019,83,Medium,76.0,78.0,7.8,74,92.0,2019-02-01,2019-02
Copenhagen,February,2019,72,Medium,79.0,127.0,8.29,65,80.0,2019-02-01,2019-02
Lisbon,February,2019,55,High,60.0,139.0,8.81,116,98.0,2019-02-01,2019-02
Barcelona,February,2019,52,Medium,49.0,114.0,7.66,67,70.0,2019-02-01,2019-02
Stockholm,February,2019,62,Medium,13.0,142.0,5.38,90,81.0,2019-02-01,2019-02
Paris,February,2019,51,Low,71.0,113.0,8.15,79,80.0,2019-02-01,2019-02
Sydney,February,2019,62,Very High,34.0,141.0,5.73,125,66.0,2019-02-01,2019-02
London,February,2019,76,Medium,85.0,74.0,8.4,98,91.0,2019-02-01,2019-02
Vienna,February,2019,69,Medium,22.0,75.0,6.2,122,72.0,2019-02-01,2019-02
Helsinki,March,2019,71,Low,55.0,84.0,7.31,121,86.0,2019-03-01,2019-03
Dublin,March,2019,50,Medium,58.0,123.0,7.67,123,82.0,2019-03-01,2019-03
New York,March,2019,47,Low,11.0,51.0,7.38,67,62.0,2019-03-01,2019-03
Berlin,March,2019,75,High,47.0,35.0,9.05,69,65.0,2019-03-01,2019-03
Rome,March,2019,78,Low,66.0,77.0,8.08,112,82.0,2019-03-01,2019-03
Lisbon,March,2019,65,Medium,28.0,123.0,8.03,104,80.0,2019-03-01,2019-03
Warsaw,March,2019,54,Very High,84.0,47.0,10.0,70,65.0,2019-03-01,2019-03
Barcelona,March,2019,46,Medium,44.0,45.0,10.0,104,64.0,2019-03-01,2019-03
Stockholm,March,2019,53,Low,21.0,82.0,7.87,69,93.0,2019-03-01,2019-03
Oslo,March,2019,54,Low,57.0,62.0,9.95,114,76.0,2019-03-01,2019-03
Melbourne,March,2019,71,High,46.0,144.0,6.35,65,96.0,2019-03-01,2019-03
Vienna,March,2019,56,Medium,80.0,79.0,10.0,77,96.0,2019-03-01,2019-03
Montreal,March,2019,70,Medium,12.0,36.0,6.79,93,63.0,2019-03-01,2019-03
Tokyo,March,2019,64,Medium,43.0,122.0,8.06,95,82.0,2019-03-01,2019-03
Sydney,March,2019,60,High,20.0,73.0,8.6,115,87.0,2019-03-01,2019-03
London,March,2019,83,Low,22.0,125.0,6.95,54,95.0,2019-03-01,2019-03
Toronto,March,2019,59,Low,41.0,136.0,6.55,97,65.0,2019-03-01,2019-03
Zurich,March,2019,78,Low,82.0,41.0,9.67,79,82.0,2019-03-01,2019-03
Paris,March,2019,85,Medium,78.0,125.0,9.22,107,94.0,2019-03-01,2019-03
San Francisco,March,2019,77,Medium,47.0,116.0,7.0,74,79.0,2019-03-01,2019-03
Prague,March,2019,61,Very High,73.0,32.0,10.0,99,87.0,2019-03-01,2019-03
Prague,March,2019,81,High,47.0,60.0,8.14,67,99.0,2019-03-01,2019-03
Auckland,March,2019,59,Very High,73.0,145.0,8.78,95,72.0,2019-03-01,2019-03
Copenhagen,March,2019,69,Medium,31.0,47.0,8.79,64,91.0,2019-03-01,2019-03
London,April,2019,56,Low,13.0,86.0,5.77,122,94.0,2019-04-01,2019-04
Lisbon,April,2019,61,High,47.0,120.0,7.25,97,87.0,2019-04-01,2019-04
Sydney,April,2019,77,Medium,47.0,120.0,7.32,124,80.0,2019-04-01,2019-04
Vienna,April,2019,81,Medium,11.0,139.0,6.18,54,83.0,2019-04-01,2019-04
New York,April,2019,45,High,42.0,43.0,10.0,119,72.0,2019-04-01,2019-04
Warsaw,April,2019,72,High,54.0,144.0,6.46,108,76.0,2019-04-01,2019-04
Dublin,April,2019,71,High,31.0,30.0,7.57,86,70.0,2019-04-01,2019-04
Copenhagen,April,2019,67,Very High,73.0,78.0,8.23,86,61.0,2019-04-01,2019-04
Berlin,April,2019,50,High,36.0,148.0,7.86,57,86.0,2019-04-01,2019-04
Rome,April,2019,70,Medium,65.0,64.0,9.97,67,63.0,2019-04-01,2019-04
Tokyo,April,2019,54,High,46.0,140.0,8.72,63,68.0,2019-04-01,2019-04
Helsinki,April,2019,70,Medium,82.0,36.0,9.12,50,93.0,2019-04-01,2019-04
Auckland,April,2019,68,High,15.0,86.0,5.87,61,80.0,2019-04-01,2019-04
Montreal,April,2019,92,Medium,81.0,143.0,8.19,112,93.0,2019-04-01,2019-04
Paris,April,2019,81,High,75.0,82.0,8.7,53,74.0,2019-04-01,2019-04
Zurich,April,2019,46,High,45.0,141.0,8.3,52,73.0,2019-04-01,2019-04
Toronto,April,2019,79,Medium,35.0,90.0,6.45,70,64.0,2019-04-01,2019-04
Berlin,April,2019,51,Very High,55.0,119.0,9.06,79,95.0,2019-04-01,2019-04
Melbourne,April,2019,80,Low,28.0,64.0,8.43,98,100.0,2019-04-01,2019-04
Barcelona,April,2019,81,Medium,31.0,62.0,8.65,64,80.0,2019-04-01,2019-04
Stockholm,April,2019,78,High,66.0,132.0,7.13,97,63.0,2019-04-01,2019-04
Oslo,April,2019,47,Low,10.0,99.0,8.15,98,72.0,2019-04-01,2019-04
San Francisco,April,2019,58,High,81.0,91.0,10.0,83,93.0,2019-04-01,2019-04
San Francisco,April,2019,85,High,46.0,79.0,7.0,78,69.0,2019-04-01,2019-04
Prague,April,2019,79,High,34.0,77.0,7.27,53,78.0,2019-04-01,2019-04
Helsinki,May,2019,48,High,47.0,118.0,8.13,124,63.0,2019-05-01,2019-05
Sydney,May,2019,83,Medium,47.0,149.0,7.35,94,98.0,2019-05-01,2019-05
London,May,2019,52,Medium,30.0,106.0,7.18,59,91.0,2019-05-01,2019-05
Vienna,May,2019,45,High,79.0,45.0,10.0,99,99.0,2019-05-01,2019-05
New York,May,2019,51,High,70.0,139.0,9.77,103,80.0,2019-05-01,2019-05
Auckland,May,2019,63,Very High,31.0,135.0,5.57,93,89.0,2019-05-01,2019-05
Rome,May,2019,71,High,29.0,135.0,5.92,130,69.0,2019-05-01,2019-05
Prague,May,2019,67,Medium,18.0,47.0,6.51,94,94.0,2019-05-01,2019-05
San Francisco,May,2019,83,High,56.0,122.0,8.45,59,93.0,2019-05-01,2019-05
Oslo,May,2019,63,Very High,17.0,89.0,7.02,85,93.0,2019-05-01,2019-05
Warsaw,May,2019,56,Medium,72.0,92.0,7.9,62,79.0,2019-05-01,2019-05
Berlin,May,2019,73,Low,27.0,35.0,8.32,119,72.0,2019-05-01,2019-05
Lisbon,May,2019,75,Low,23.0,50.0,7.34,125,62.0,2019-05-01,2019-05
Stockholm,May,2019,68,Very High,83.0,117.0,9.81,64,86.0,2019-05-01,2019-05
Copenhagen,May,2019,71,Medium,58.0,74.0,9.94,81,79.0,2019-05-01,2019-05
Montreal,May,2019,45,Low,79.0,131.0,9.95,57,95.0,2019-05-01,2019-05
Toronto,May,2019,74,High,69.0,139.0,6.43,95,81.0,2019-05-01,2019-05
Paris,May,2019,76,High,27.0,91.0,6.97,76,82.0,2019-05-01,2019-05
Zurich,May,2019,75,Medium,44.0,109.0,6.13,65,70.0,2019-05-01,2019-05
Tokyo,May,2019,62,Low,26.0,43.0,7.99,85,77.0,2019-05-01,2019-05
Dublin,May,2019,57,Medium,37.0,37.0,9.44,102,99.0,2019-05-01,2019-05
Dublin,June,2019,45,Low,40.0,116.0,8.0,50,62.0,2019-06-01,2019-06
London,June,2019,76,Low,38.0,117.0,5.82,106,67.0,2019-06-01,2019-06
Melbourne,June,2019,75,High,15.0,136.0,6.85,265,87.0,2019-06-01,2019-06
Montreal,June,2019,50,Medium,32.0,143.0,6.1,104,62.0,2019-06-01,2019-06
Toronto,June,2019,52,Low,42.0,128.0,7.01,56,99.0,2019-06-01,2019-06
Paris,June,2019,80,High,66.0,95.0,7.11,76,68.0,2019-06-01,2019-06
Prague,June,2019,56,Medium,56.0,30.0,9.8,126,71.0,2019-06-01,2019-06
Stockholm,June,2019,75,Very High,42.0,54.0,8.31,54,86.0,2019-06-01,2019-06
Auckland,June,2019,61,High,81.0,131.0,9.76,108,76.0,2019-06-01,2019-06
Sydney,June,2019,66,Medium,27.0,87.0,7.58,107,91.0,2019-06-01,2019-06
Berlin,June,2019,76,High,78.0,54.0,9.23,69,80.0,2019-06-01,2019-06
Stockholm,June,2019,77,Medium,54.0,52.0,10.0,98,76.0,2019-06-01,2019-06
Berlin,June,2019,61,Very High,30.0,49.0,7.45,281,92.0,2019-06-01,2019-06
Copenhagen,June,2019,81,Medium,51.0,114.0,8.79,103,90.0,2019-06-01,2019-06
Oslo,June,2019,53,Medium,51.0,120.0,8.0,72,92.0,2019-06-01,2019-06
Tokyo,June,2019,53,Low,25.0,89.0,7.54,66,98.0,2019-06-01,2019-06
Helsinki,June,2019,45,Low,29.0,69.0,7.39,129,67.0,2019-06-01,2019-06
New York,June,2019,70,Low,15.0,122.0,7.46,126,80.0,2019-06-01,2019-06
Warsaw,June,2019,84,Medium,57.0,88.0,6.91,93,81.0,2019-06-01,2019-06
Lisbon,June,2019,79,Low,17.0,111.0,4.81,86,68.0,2019-06-01,2019-06
Vienna,June,2019,56,Low,27.0,98.0,7.78,79,67.0,2019-06-01,2019-06
Zurich,June,2019,80,High,20.0,63.0,5.8,77,100.0,2019-06-01,2019-06
Barcelona,June,2019,63,Very High,15.0,38.0,7.56,89,95.0,2019-06-01,2019-06
Auckland,July,2019,49,Low,81.0,108.0,8.46,109,79.0,2019-07-01,2019-07
Zurich,July,2019,58,Medium,12.0,149.0,6.88,101,76.0,2019-07-01,2019-07
Montreal,July,2019,65,Low,14.0,133.0,6.94,50,76.0,2019-07-01,2019-07
Sydney,July,2019,60,High,28.0,124.0,7.47,110,61.0,2019-07-01,2019-07
Vienna,July,2019,55,Medium,81.0,129.0,8.87,67,61.0,2019-07-01,2019-07
Warsaw,July,2019,80,Low,10.0,103.0,5.33,127,98.0,2019-07-01,2019-07
Toronto,July,2019,68,Medium,41.0,142.0,7.5,58,93.0,2019-07-01,2019-07
Lisbon,July,2019,65,High,83.0,41.0,9.47,83,78.0,2019-07-01,2019-07
Paris,July,2019,68,High,39.0,68.0,8.41,94,76.0,2019-07-01,2019-07
Oslo,July,2019,70,Medium,50.0,40.0,7.92,70,80.0,2019-07-01,2019-07
Helsinki,July,2019,64,Low,74.0,37.0,10.0,73,94.0,2019-07-01,2019-07
Stockholm,July,2019,84,Medium,33.0,75.0,6.05,104,78.0,2019-07-01,2019-07
San Francisco,July,2019,62,High,85.0,138.0,9.42,81,96.0,2019-07-01,2019-07
Barcelona,July,2019,79,High,73.0,129.0,8.09,81,86.0,2019-07-01,2019-07
New York,July,2019,63,Medium,66.0,115.0,9.69,122,90.0,2019-07-01,2019-07
Rome,July,2019,80,High,44.0,89.0,8.4,52,81.0,2019-07-01,2019-07
Tokyo,July,2019,71,Medium,77.0,47.0,10.0,84,99.0,2019-07-01,2019-07
London,July,2019,68,Medium,47.0,97.0,8.19,63,62.0,2019-07-01,2019-07
Copenhagen,July,2019,66,Medium,36.0,94.0,7.99,88,87.0,2019-07-01,2019-07
Melbourne,July,2019,84,Low,35.0,115.0,5.25,53,64.0,2019-07-01,2019-07
Prague,July,2019,52,High,12.0,105.0,6.84,69,60.0,2019-07-01,2019-07
Warsaw,August,2019,49,Medium,76.0,42.0,10.0,69,80.0,2019-08-01,2019-08
New York,August,2019,68,Low,13.0,126.0,5.37,65,77.0,2019-08-01,2019-08
Melbourne,August,2019,81,High,28.0,133.0,5.73,65,72.0,2019-08-01,2019-08
Rome,August,2019,62,Low,57.0,49.0,9.96,89,70.0,2019-08-01,2019-08
Paris,August,2019,56,Medium,59.0,120.0,7.63,94,96.0,2019-08-01,2019-08
Melbourne,August,2019,85,High,16.0,129.0,4.16,124,86.0,2019-08-01,2019-08
San Francisco,August,2019,74,Very High,29.0,111.0,6.97,72,98.0,2019-08-01,2019-08
London,August,2019,53,Medium,61.0,61.0,9.47,70,71.0,2019-08-01,2019-08
Stockholm,August,2019,45,High,65.0,73.0,9.63,64,64.0,2019-08-01,2019-08
Sydney,August,2019,61,Medium,82.0,83.0,9.98,63,68.0,2019-08-01,2019-08
Helsinki,August,2019,77,Low,28.0,114.0,7.03,119,90.0,2019-08-01,2019-08
Prague,August,2019,56,Medium,61.0,106.0,9.04,74,73.0,2019-08-01,2019-08
Lisbon,August,2019,58,High,56.0,87.0,9.29,109,83.0,2019-08-01,2019-08
Barcelona,August,2019,58,Low,58.0,123.0,7.05,80,63.0,2019-08-01,2019-08
Berlin,August,2019,47,Low,14.0,92.0,7.58,99,93.0,2019-08-01,2019-08
Oslo,August,2019,82,High,48.0,100.0,6.47,73,65.0,2019-08-01,2019-08
Copenhagen,August,2019,84,Very High,48.0,81.0,7.29,61,97.0,2019-08-01,2019-08
Dublin,August,2019,53,Medium,68.0,81.0,10.0,65,77.0,2019-08-01,2019-08
Tokyo,August,2019,83,High,27.0,96.0,5.21,124,82.0,2019-08-01,2019-08
Vienna,August,2019,81,Medium,12.0,79.0,5.8,108,83.0,2019-08-01,2019-08
Zurich,August,2019,76,Medium,73.0,36.0,10.0,115,75.0,2019-08-01,2019-08
Montreal,August,2019,81,Medium,47.0,112.0,8.28,102,96.0,2019-08-01,2019-08
Dublin,September,2019,65,High,47.0,111.0,7.03,96,80.0,2019-09-01,2019-09
Barcelona,September,2019,51,Low,57.0,125.0,8.74,100,96.0,2019-09-01,2019-09
Tokyo,September,2019,81,High,42.0,119.0,6.86,98,81.0,2019-09-01,2019-09
Stockholm,September,2019,71,High,84.0,70.0,10.0,120,70.0,2019-09-01,2019-09
London,September,2019,59,Medium,33.0,44.0,7.35,88,80.0,2019-09-01,2019-09
San Francisco,September,2019,61,Medium,50.0,108.0,8.75,116,75.0,2019-09-01,2019-09
Rome,September,2019,81,Medium,41.0,112.0,6.43,106,82.0,2019-09-01,2019-09
Lisbon,September,2019,76,High,25.0,84.0,7.24,117,92.0,2019-09-01,2019-09
Zurich,September,2019,69,Low,85.0,136.0,7.91,63,79.0,2019-09-01,2019-09
Copenhagen,September,2019,79,Medium,48.0,68.0,8.7,103,99.0,2019-09-01,2019-09
Sydney,September,2019,73,Medium,38.0,33.0,7.54,83,61.0,2019-09-01,2019-09
Oslo,September,2019,71,Low,11.0,107.0,5.46,106,86.0,2019-09-01,2019-09
Warsaw,September,2019,56,Low,34.0,127.0,8.14,101,77.0,2019-09-01,2019-09
Paris,September,2019,45,Medium,24.0,89.0,7.97,71,66.0,2019-09-01,2019-09
Helsinki,September,2019,46,High,23.0,134.0,5.46,65,60.0,2019-09-01,2019-09
Montreal,September,2019,54,Medium,21.0,131.0,7.81,75,94.0,2019-09-01,2019-09
Toronto,September,2019,53,Very High,81.0,124.0,8.52,124,63.0,2019-09-01,2019-09
Melbourne,September,2019,73,Medium,46.0,37.0,9.2,101,86.0,2019-09-01,2019-09
Vienna,September,2019,52,Medium,37.0,60.0,9.79,105,87.0,2019-09-01,2019-09
New York,September,2019,80,Medium,71.0,73.0,10.0,101,83.0,2019-09-01,2019-09
Auckland,September,2019,68,High,40.0,42.0,7.59,95,77.0,2019-09-01,2019-09
San Francisco,October,2019,59,Medium,24.0,130.0,6.78,82,93.0,2019-10-01,2019-10
Dublin,October,2019,66,Medium,72.0,73.0,9.94,93,75.0,2019-10-01,2019-10
Dublin,October,2019,51,High,70.0,139.0,9.62,87,69.0,2019-10-01,2019-10
Helsinki,October,2019,45,Medium,27.0,122.0,8.5,95,92.0,2019-10-01,2019-10
London,October,2019,58,High,27.0,61.0,7.78,110,73.0,2019-10-01,2019-10
Melbourne,October,2019,55,Low,70.0,148.0,9.5,127,76.0,2019-10-01,2019-10
Stockholm,October,2019,51,Low,16.0,31.0,9.85,129,81.0,2019-10-01,2019-10
Auckland,October,2019,53,High,12.0,72.0,6.6,76,95.0,2019-10-01,2019-10
Montreal,October,2019,59,Medium,55.0,114.0,9.29,58,78.0,2019-10-01,2019-10
Paris,October,2019,48,Very High,48.0,115.0,9.11,82,73.0,2019-10-01,2019-10
Vienna,October,2019,48,Medium,70.0,111.0,9.29,62,63.0,2019-10-01,2019-10
Copenhagen,October,2019,74,High,73.0,135.0,8.68,118,87.0,2019-10-01,2019-10
Oslo,October,2019,47,High,34.0,91.0,6.88,79,63.0,2019-10-01,2019-10
London,October,2019,84,Medium,64.0,147.0,5.69,112,91.0,2019-10-01,2019-10
Lisbon,October,2019,49,Very High,46.0,111.0,8.19,121,94.0,2019-10-01,2019-10
Barcelona,October,2019,57,Very High,51.0,64.0,8.95,124,66.0,2019-10-01,2019-10
Warsaw,October,2019,47,Very High,26.0,139.0,7.93,81,80.0,2019-10-01,2019-10
Zurich,October,2019,54,Medium,56.0,121.0,7.96,101,80.0,2019-10-01,2019-10
Toronto,October,2019,68,Medium,14.0,124.0,6.18,76,67.0,2019-10-01,2019-10
Tokyo,October,2019,80,Low,10.0,101.0,4.64,53,96.0,2019-10-01,2019-10
New York,October,2019,72,Low,65.0,47.0,8.02,73,71.0,2019-10-01,2019-10
Sydney,October,2019,68,Low,56.0,38.0,10.0,130,66.0,2019-10-01,2019-10
Berlin,October,2019,59,Medium,19.0,96.0,8.41,74,75.0,2019-10-01,2019-10
Prague,October,2019,50,Medium,13.0,71.0,7.32,85,98.0,2019-10-01,2019-10
Rome,October,2019,72,Medium,36.0,69.0,6.92,113,86.0,2019-10-01,2019-10
Tokyo,November,2019,57,Medium,23.0,108.0,5.71,85,79.0,2019-11-01,2019-11
London,November,2019,77,High,75.0,127.0,7.89,59,75.0,2019-11-01,2019-11
Rome,November,2019,52,Medium,16.0,118.0,5.37,96,89.0,2019-11-01,2019-11
Berlin,November,2019,55,High,68.0,84.0,9.49,120,81.0,2019-11-01,2019-11
Barcelona,November,2019,64,Very High,43.0,41.0,9.61,127,80.0,2019-11-01,2019-11
Paris,November,2019,60,Low,78.0,115.0,9.42,53,87.0,2019-11-01,2019-11
Montreal,November,2019,48,Medium,53.0,49.0,9.49,84,87.0,2019-11-01,2019-11
Melbourne,November,2019,55,Very High,21.0,149.0,6.1,101,94.0,2019-11-01,2019-11
Dublin,November,2019,73,Low,80.0,89.0,8.24,111,75.0,2019-11-01,2019-11
Copenhagen,November,2019,49,Medium,48.0,82.0,8.08,102,78.0,2019-11-01,2019-11
Warsaw,November,2019,45,High,84.0,43.0,10.0,95,88.0,2019-11-01,2019-11
Vienna,November,2019,75,Medium,20.0,87.0,7.55,94,72.0,2019-11-01,2019-11
Stockholm,November,2019,63,Very High,82.0,66.0,10.0,81,82.0,2019-11-01,2019-11
Prague,November,2019,68,Low,36.0,68.0,7.83,92,77.0,2019-11-01,2019-11
Lisbon,November,2019,74,Medium,19.0,85.0,7.07,69,64.0,2019-11-01,2019-11
Helsinki,November,2019,53,Low,82.0,121.0,9.71,88,64.0,2019-11-01,2019-11
San Francisco,November,2019,55,Medium,17.0,146.0,7.38,117,99.0,2019-11-01,2019-11
Auckland,November,2019,56,Low,28.0,99.0,6.67,53,82.0,2019-11-01,2019-11
Sydney,November,2019,68,Medium,47.0,109.0,9.03,73,87.0,2019-11-01,2019-11
Zurich,November,2019,76,High,46.0,132.0,6.03,96,74.0,2019-11-01,2019-11
New York,November,2019,64,High,43.0,91.0,7.46,91,74.0,2019-11-01,2019-11
Oslo,November,2019,82,Low,48.0,41.0,9.94,50,86.0,2019-11-01,2019-11
Toronto,November,2019,67,High,85.0,68.0,8.73,99,81.0,2019-11-01,2019-11
Auckland,December,2019,82,Low,18.0,129.0,6.53,114,99.0,2019-12-01,2019-12
Toronto,December,2019,65,Medium,47.0,85.0,7.24,233,64.0,2019-12-01,2019-12
San Francisco,December,2019,70,Low,40.0,44.0,8.01,52,72.0,2019-12-01,2019-12
Zurich,December,2019,69,Very High,37.0,134.0,6.37,128,66.0,2019-12-01,2019-12
New York,December,2019,67,Low,20.0,66.0,8.19,71,98.0,2019-12-01,2019-12
Oslo,December,2019,72,Low,63.0,37.0,9.18,100,93.0,2019-12-01,2019-12
Vienna,December,2019,76,Low,27.0,76.0,7.8,73,76.0,2019-12-01,2019-12
Melbourne,December,2019,72,Very High,47.0,44.0,8.95,115,80.0,2019-12-01,2019-12
Paris,December,2019,69,Medium,33.0,144.0,6.11,65,84.0,2019-12-01,2019-12
Berlin,December,2019,65,Very High,57.0,111.0,9.39,122,84.0,2019-12-01,2019-12
Montreal,December,2019,56,Very High,79.0,100.0,8.87,79,100.0,2019-12-01,2019-12
Lisbon,December,2019,69,High,61.0,30.0,8.94,78,69.0,2019-12-01,2019-12
Dublin,December,2019,61,Low,51.0,128.0,7.63,65,94.0,2019-12-01,2019-12
Sydney,December,2019,84,High,63.0,36.0,9.29,50,97.0,2019-12-01,2019-12
Helsinki,December,2019,82,High,77.0,119.0,9.3,129,64.0,2019-12-01,2019-12
Warsaw,December,2019,115,Very High,80.0,78.0,8.56,126,64.0,2019-12-01,2019-12
Copenhagen,December,2019,72,Low,49.0,101.0,7.06,54,77.0,2019-12-01,2019-12
Tokyo,December,2019,91,High,13.0,82.0,6.53,110,61.0,2019-12-01,2019-12
Barcelona,December,2019,80,Low,32.0,81.0,6.18,81,66.0,2019-12-01,2019-12
